,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,year,min_revenue,name_upper,name_lower
10,25843621,"Lubec Ocean View Home ""Crow Town"" - Sleeps 5-7.",194172499,Wanda,Charlotte,Campobello,44.81701,-66.95178,Entire home/apt,156,4,37,2022-06-04,0.77,1,64,7,,2022.0,624,"LUBEC OCEAN VIEW HOME ""CROW TOWN"" - SLEEPS 5-7.","lubec ocean view home ""crow town"" - sleeps 5-7."
11,51276264,Chalet sur la Rivière / Cottage by the River,35300796,Maxime,Gloucester,Inkerman,47.67435,-64.96055,Entire home/apt,150,5,2,2021-10-31,0.21,1,119,2,,2021.0,750,CHALET SUR LA RIVIÈRE / COTTAGE BY THE RIVER,chalet sur la rivière / cottage by the river
12,44374462,Water lover’s paradise,358019958,Patrick,Gloucester,Beresford,47.68582,-65.67124,Entire home/apt,230,6,2,2021-07-31,0.18,1,175,2,,2021.0,1380,WATER LOVER’S PARADISE,water lover’s paradise
13,49167935,Harbour View,256371991,Kendra,Charlotte,Grand Manan,44.68215,-66.75065,Entire home/apt,175,2,0,,,1,51,0,,,350,HARBOUR VIEW,harbour view
14,46760099,Beachfront home,43162139,Jamie,Gloucester,Bathurst,47.67065,-65.64315,Entire home/apt,135,2,19,2022-05-29,1.04,1,147,4,,2022.0,270,BEACHFRONT HOME,beachfront home
15,26986461,Bob's Cabin at Wishart's Point Lodge,154249045,Ned,Northumberland,Alnwick,47.33522,-64.98235,Entire home/apt,150,2,6,2021-08-17,0.13,3,148,4,,2021.0,300,BOB'S CABIN AT WISHART'S POINT LODGE,bob's cabin at wishart's point lodge
16,645385316276218855,Lovely one bedroom suite with your own deck.,42710985,Doreen And Tom,Westmorland,Westmorland,45.9740759,-64.04602899999999,Entire home/apt,125,2,0,,,1,343,0,,,250,LOVELY ONE BEDROOM SUITE WITH YOUR OWN DECK.,lovely one bedroom suite with your own deck.
17,583874039785352498,Roulotte/RV à louer sur le bord de la mer,365844387,Janie,Gloucester,Beresford,47.87068,-65.77714,Entire home/apt,125,6,0,,,1,146,0,,,750,ROULOTTE/RV À LOUER SUR LE BORD DE LA MER,roulotte/rv à louer sur le bord de la mer
18,49274552,Paradise on the Richibucto River,12262982,Jacques  & Alyson,Kent,Weldford,46.5898,-64.93174,Entire home/apt,215,3,24,2021-09-12,1.81,1,235,19,,2021.0,645,PARADISE ON THE RICHIBUCTO RIVER,paradise on the richibucto river
19,11832145,Beachfront Cottage w Awesome Views!,63038241,Jacqueline,Westmorland,Botsford,46.15464,-63.84931,Entire home/apt,150,7,3,2021-09-18,0.04,1,310,1,,2021.0,1050,BEACHFRONT COTTAGE W AWESOME VIEWS!,beachfront cottage w awesome views!
20,53859498,Mermaid's Mini Mansion,129727384,Racy,Charlotte,West Isles,44.911606,-66.98613,Entire home/apt,168,2,30,2022-06-23,5.33,1,282,30,,2022.0,336,MERMAID'S MINI MANSION,mermaid's mini mansion
21,555256596924135142,Seas the Day Waterfront Chalet near Nat'l Park!,242155537,Étienne,Kent,Richibucto,46.69221,-64.85359,Entire home/apt,177,1,0,,,14,49,0,,,177,SEAS THE DAY WATERFRONT CHALET NEAR NAT'L PARK!,seas the day waterfront chalet near nat'l park!
22,5161600,The Henry George,26695369,Andrea,Kent,Wellington,46.49781,-64.67743,Entire home/apt,98,5,25,2022-01-01,0.3,2,312,7,,2022.0,490,THE HENRY GEORGE,the henry george
23,35317565,"Waterfront Family Vacation Home In Mundleville, NB",115234944,Shannon,Kent,Weldford,46.5879,-64.91859,Entire home/apt,295,6,18,2022-03-03,0.5,1,317,4,,2022.0,1770,"WATERFRONT FAMILY VACATION HOME IN MUNDLEVILLE, NB","waterfront family vacation home in mundleville, nb"
24,50454753,The Blue Room,407628059,David,Charlotte,Saint Andrews,45.07038,-67.0482,Private room,116,1,14,2022-06-09,1.15,1,45,14,,2022.0,116,THE BLUE ROOM,the blue room
25,628277785251629971,Eastern Beacon Inn Room 4,459426126,Patrick,Charlotte,Campobello,44.86039,-66.98206,Private room,194,1,1,2022-05-29,1.0,2,199,1,,2022.0,194,EASTERN BEACON INN ROOM 4,eastern beacon inn room 4
26,75065,Bay cottage on Passamaquoddy bay,397069,Bob,Charlotte,Saint Andrews,45.13241,-67.04725,Entire home/apt,246,2,33,2022-06-10,0.39,1,293,15,,2022.0,492,BAY COTTAGE ON PASSAMAQUODDY BAY,bay cottage on passamaquoddy bay
27,34011960,Sea Smoke Cottage - stunning water views abound!,17687429,Jenny,Charlotte,West Isles,44.91393,-66.98857,Entire home/apt,278,7,18,2022-05-15,0.78,1,290,7,,2022.0,1946,SEA SMOKE COTTAGE - STUNNING WATER VIEWS ABOUND!,sea smoke cottage - stunning water views abound!
28,49724487,"Immaculate tiny house,walk to everything Eastport!",84379628,Maribeth,Charlotte,West Isles,44.90942,-66.99058,Entire home/apt,271,1,45,2022-06-19,4.17,1,327,45,,2022.0,271,"IMMACULATE TINY HOUSE,WALK TO EVERYTHING EASTPORT!","immaculate tiny house,walk to everything eastport!"
29,18923745,Sparkling Lubec Cottage: Summerkeys & Campobello,22720806,Catherine,Charlotte,Campobello,44.86104,-66.99035,Entire home/apt,214,5,45,2022-06-18,0.76,1,278,15,,2022.0,1070,SPARKLING LUBEC COTTAGE: SUMMERKEYS & CAMPOBELLO,sparkling lubec cottage: summerkeys & campobello
30,10282546,Cottage on Court St,51689853,Anne,Victoria,Grand Falls Town,47.04515,-67.73971,Entire home/apt,200,1,119,2022-06-12,1.66,2,83,19,,2022.0,200,COTTAGE ON COURT ST,cottage on court st
31,10549820,Gite - Le Ch'ti Gite Bathurst,3200436,Christophe,Gloucester,Beresford,47.76642,-65.7167,Entire home/apt,85,1,56,2020-01-19,0.78,1,174,0,,2020.0,85,GITE - LE CH'TI GITE BATHURST,gite - le ch'ti gite bathurst
32,10607122,Sweet modern bachelor apartment,50511831,Historica,Saint John,City of Saint John,45.27238,-66.06317,Entire home/apt,119,7,123,2022-03-13,1.62,11,0,4,,2022.0,833,SWEET MODERN BACHELOR APARTMENT,sweet modern bachelor apartment
33,11018863,Home in Old West End,10602151,Cathy,Westmorland,Moncton,46.08619,-64.79962,Private room,77,1,76,2022-06-11,0.99,2,224,6,,2022.0,77,HOME IN OLD WEST END,home in old west end
34,11080838,"Bachelor Suites, Queen Bed",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27364,-66.06291,Private room,185,1,12,2019-07-01,0.17,7,338,0,,2019.0,185,"BACHELOR SUITES, QUEEN BED","bachelor suites, queen bed"
35,11165175,Grand Lake Private Beachfront,58075626,Corey,Queens,Waterborough,45.96655,-65.99916,Entire home/apt,150,3,47,2020-07-31,0.64,1,21,0,,2020.0,450,GRAND LAKE PRIVATE BEACHFRONT,grand lake private beachfront
36,11209805,Lightkeeper's Cottage: Bay of Fundy,58382426,Kim,Saint John,Saint Martins,45.35862,-65.53395,Entire home/apt,165,2,147,2022-06-13,1.99,2,58,26,,2022.0,330,LIGHTKEEPER'S COTTAGE: BAY OF FUNDY,lightkeeper's cottage: bay of fundy
37,11268769,Restored Victorian Suite,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.2747,-66.0633,Private room,199,1,28,2021-09-06,0.39,7,174,3,,2021.0,199,RESTORED VICTORIAN SUITE,restored victorian suite
38,145013,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32857,-64.52445,Entire home/apt,150,7,8,2020-08-23,0.08,1,286,0,,2020.0,1050,LOBSTER LANE COTTAGE: PRIVATE BEACH,lobster lane cottage: private beach
39,11268777,Cozy 31ft camper on Atlantic Ocean,58779834,Fannie,Gloucester,Beresford,47.85422,-65.76446,Entire home/apt,95,7,79,2019-09-20,1.07,2,0,0,,2019.0,665,COZY 31FT CAMPER ON ATLANTIC OCEAN,cozy 31ft camper on atlantic ocean
40,261800,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.27727,-66.0604,Entire home/apt,125,2,49,2022-01-03,0.66,2,331,5,,2022.0,250,FURNISHED EXECUTIVE CLOSE TO CITY,furnished executive close to city
41,11610017,A la Belle Etoile,61457598,Stella,Restigouche,Grimmer,47.64499,-67.35582,Entire home/apt,75,1,48,2021-08-28,0.67,1,362,4,,2021.0,75,A LA BELLE ETOILE,a la belle etoile
42,791070,Private room in a friendly home!,72953,Stephen,Westmorland,Sackville,45.894821,-64.376556,Private room,61,1,66,2022-06-18,0.6,1,236,15,,2022.0,61,PRIVATE ROOM IN A FRIENDLY HOME!,private room in a friendly home!
43,11641558,Million Dollar View,61722341,Todd & Jessica,Charlotte,Saint David,45.22706,-67.17808,Entire home/apt,195,3,13,2022-06-17,0.24,1,282,3,,2022.0,585,MILLION DOLLAR VIEW,million dollar view
44,872640,Acadian Isle Retreat - Heron Haven,2189998,Danielle,Gloucester,Shippagan,47.86785,-64.52187,Entire home/apt,135,7,3,2019-08-18,0.03,1,294,0,,2019.0,945,ACADIAN ISLE RETREAT - HERON HAVEN,acadian isle retreat - heron haven
45,905910,"2 bedroom bungalow ideal - tv, movie film location",4847531,Forsale,Queens,Cambridge,45.85825,-66.11696,Entire home/apt,130,7,0,,,1,358,0,,,910,"2 BEDROOM BUNGALOW IDEAL - TV, MOVIE FILM LOCATION","2 bedroom bungalow ideal - tv, movie film location"
46,950843,"Centrally located  3 bdrm  home , bkfst items",3032106,Gerry,Westmorland,Moncton,46.10555,-64.81432,Entire home/apt,157,5,209,2022-05-08,1.94,2,314,18,,2022.0,785,"CENTRALLY LOCATED  3 BDRM  HOME , BKFST ITEMS","centrally located  3 bdrm  home , bkfst items"
47,954893,Cozy Room in 3 Bedroom Home,2615407,Patti,Kings,Rothesay,45.35355,-66.0292,Private room,65,2,40,2020-08-18,0.41,1,124,0,,2020.0,130,COZY ROOM IN 3 BEDROOM HOME,cozy room in 3 bedroom home
48,1199731,"Beautiful Victorian Mansion, Superior Suite",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27233,-66.05694,Private room,201,1,130,2021-09-06,1.25,7,320,4,,2021.0,201,"BEAUTIFUL VICTORIAN MANSION, SUPERIOR SUITE","beautiful victorian mansion, superior suite"
49,11690143,Fully renovated cottage in Shediac,62110021,Isabelle,Kent,Dundas,46.306,-64.5406,Entire home/apt,187,3,39,2021-09-04,0.54,1,321,10,,2021.0,561,FULLY RENOVATED COTTAGE IN SHEDIAC,fully renovated cottage in shediac
50,1210065,Gagetown Boathouse a waterfront year-round retreat,6608327,Derek,Queens,Gagetown,45.78008,-66.14374,Entire home/apt,215,2,3,2021-10-16,0.26,1,165,3,,2021.0,430,GAGETOWN BOATHOUSE A WATERFRONT YEAR-ROUND RETREAT,gagetown boathouse a waterfront year-round retreat
51,1242493,Parlour Room,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27358,-66.05307,Private room,140,1,48,2022-06-10,0.55,10,140,9,,2022.0,140,PARLOUR ROOM,parlour room
52,1264655,"The Maples, NB Country Farmhouse",6885464,Gary,York,Bright,45.97722,-66.84614,Entire home/apt,142,2,147,2022-06-18,1.36,1,322,13,,2022.0,284,"THE MAPLES, NB COUNTRY FARMHOUSE","the maples, nb country farmhouse"
53,1266591,"Beautiful King Suite, Victorian Mansion",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27406,-66.05772,Private room,185,1,83,2022-06-13,0.99,7,315,13,,2022.0,185,"BEAUTIFUL KING SUITE, VICTORIAN MANSION","beautiful king suite, victorian mansion"
54,1489389,"Midpoint to  Moncton, Saint John or Fredericton",7964165,Sharon,Kings,Springfield,45.64933,-65.8593,Private room,35,1,69,2022-05-22,0.8,5,321,6,,2022.0,35,"MIDPOINT TO  MONCTON, SAINT JOHN OR FREDERICTON","midpoint to  moncton, saint john or fredericton"
55,1806151,"Waterfront cottage, relaxing and fun get away!",4253971,Roxanne,Kent,Richibucto,46.68234,-64.80627,Entire home/apt,150,2,125,2022-06-14,1.28,1,131,26,,2022.0,300,"WATERFRONT COTTAGE, RELAXING AND FUN GET AWAY!","waterfront cottage, relaxing and fun get away!"
56,11768875,Cottage Chic Annex - Private Downtown Waterfront,10898681,Janis,Charlotte,Saint Andrews,45.07393,-67.05364,Entire home/apt,233,2,114,2022-06-18,2.26,2,295,21,,2022.0,466,COTTAGE CHIC ANNEX - PRIVATE DOWNTOWN WATERFRONT,cottage chic annex - private downtown waterfront
57,11789043,Beautiful Waterfront Rental,62784260,Danielle,Kent,Dundas,46.34849,-64.61245,Entire home/apt,250,4,37,2022-06-08,0.61,1,142,9,,2022.0,1000,BEAUTIFUL WATERFRONT RENTAL,beautiful waterfront rental
58,11859312,Simplement Chouette! (N.-B.),63213456,Sylvie Et Gordon,Restigouche,Colborne,47.96196,-66.16601,Entire home/apt,89,4,92,2019-09-28,1.27,2,1,0,,2019.0,356,SIMPLEMENT CHOUETTE! (N.-B.),simplement chouette! (n.-b.)
59,11885501,"Professional Home, Country Setting",63377885,John,Kings,Norton,45.56746,-65.80302,Entire home/apt,300,2,20,2018-08-25,0.28,1,174,0,,2018.0,600,"PROFESSIONAL HOME, COUNTRY SETTING","professional home, country setting"
60,11887721,Bachelor on a Budget,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27876,-66.06006,Entire home/apt,165,1,145,2022-06-21,1.97,7,174,5,,2022.0,165,BACHELOR ON A BUDGET,bachelor on a budget
61,15751243,West Hills Pvte. 2-Bdrm Guest Suite /w Kitchenette,82694424,Cara & Scott,York,Fredericton,45.9935,-66.6472,Entire home/apt,129,2,208,2022-06-20,3.03,1,43,20,,2022.0,258,WEST HILLS PVTE. 2-BDRM GUEST SUITE /W KITCHENETTE,west hills pvte. 2-bdrm guest suite /w kitchenette
62,11910245,"A.N.D. Ecovillage, we are an off-grid homestead",63538612,Darius,Carleton,Brighton,46.42057,-67.35478,Private room,100,1,1,2021-09-04,0.1,2,178,1,,2021.0,100,"A.N.D. ECOVILLAGE, WE ARE AN OFF-GRID HOMESTEAD","a.n.d. ecovillage, we are an off-grid homestead"
63,15764884,Old Sackville,101934533,Jacques,Westmorland,Sackville,45.89648,-64.37792,Private room,70,2,26,2022-05-03,0.38,1,352,4,,2022.0,140,OLD SACKVILLE,old sackville
64,11928058,Lakeside Retreat 3bdr Private House,45404734,Catherine,Charlotte,Saint George,45.18653,-66.77746,Entire home/apt,475,1,71,2022-06-19,0.98,1,287,16,,2022.0,475,LAKESIDE RETREAT 3BDR PRIVATE HOUSE,lakeside retreat 3bdr private house
65,15779334,The Old Potter Homestead - sleeps 9 comfortably,58443601,Angela,Kent,Carleton,46.79061,-65.04353,Entire home/apt,225,2,109,2022-06-12,1.77,1,295,31,,2022.0,450,THE OLD POTTER HOMESTEAD - SLEEPS 9 COMFORTABLY,the old potter homestead - sleeps 9 comfortably
66,15797725,Fully Furnished bachelor suite in downtown Moncton,93644538,Lorraine,Westmorland,Moncton,46.0911,-64.78993,Entire home/apt,128,3,14,2022-06-07,0.22,16,0,3,,2022.0,384,FULLY FURNISHED BACHELOR SUITE IN DOWNTOWN MONCTON,fully furnished bachelor suite in downtown moncton
67,11958846,"Skyline Resort - Pool, Hot tub & Tiki Hut! Blue Kg",16489649,Francis,York,Fredericton,45.93816,-66.64009,Private room,110,1,49,2021-09-19,0.68,2,330,7,,2021.0,110,"SKYLINE RESORT - POOL, HOT TUB & TIKI HUT! BLUE KG","skyline resort - pool, hot tub & tiki hut! blue kg"
68,12025926,The Coastal Suite,64352988,Wendy,Albert,Hopewell,45.84822,-64.57621,Entire home/apt,185,2,54,2022-06-21,0.89,2,296,17,,2022.0,370,THE COASTAL SUITE,the coastal suite
69,15881825,"Private room in quiet neighborhood, near downtown",102984917,Beth,York,Fredericton,45.95803,-66.6532,Private room,39,4,69,2022-06-18,1.03,1,308,3,,2022.0,156,"PRIVATE ROOM IN QUIET NEIGHBORHOOD, NEAR DOWNTOWN","private room in quiet neighborhood, near downtown"
70,15909030,Family Lakeside Cottage Close to Airport,103208462,Erin,Saint John,City of Saint John,45.32749,-65.91746,Entire home/apt,120,5,16,2022-03-30,0.24,1,84,3,,2022.0,600,FAMILY LAKESIDE COTTAGE CLOSE TO AIRPORT,family lakeside cottage close to airport
71,12040190,The Artisan Suite,64352988,Wendy,Albert,Hopewell,45.84989,-64.57608,Entire home/apt,185,2,70,2022-06-21,0.95,2,299,20,,2022.0,370,THE ARTISAN SUITE,the artisan suite
72,16015082,Brightwater Cottage,57953826,Kathi,Saint John,Saint Martins,45.3193,-65.55615,Entire home/apt,140,2,57,2022-06-21,1.1,1,207,21,,2022.0,280,BRIGHTWATER COTTAGE,brightwater cottage
73,12053350,"Best view of the city, room with private bath.",2839314,Rodge,Westmorland,Moncton,46.06774,-64.7188,Private room,79,2,23,2019-08-21,0.34,2,12,0,,2019.0,158,"BEST VIEW OF THE CITY, ROOM WITH PRIVATE BATH.","best view of the city, room with private bath."
74,12190930,St Ives Cottage on Grand Lake,65527327,Jim,Queens,Waterborough,45.91974,-65.98397,Entire home/apt,130,6,13,2021-08-20,0.21,1,36,5,,2021.0,780,ST IVES COTTAGE ON GRAND LAKE,st ives cottage on grand lake
75,16094540,Maison Chiasson # 1,49892961,Yves,Gloucester,Shippagan,47.7408,-64.61738,Entire home/apt,175,6,1,2019-08-10,0.03,4,266,0,,2019.0,1050,MAISON CHIASSON # 1,maison chiasson # 1
76,12386559,One Princess ~ Loft Apartment #2,47446936,One Princess,Saint John,City of Saint John,45.27055,-66.06321,Entire home/apt,149,2,84,2022-06-05,1.15,3,134,3,,2022.0,298,ONE PRINCESS ~ LOFT APARTMENT #2,one princess ~ loft apartment #2
77,16189805,"Cozy, Clean & Quiet Space",105720558,Haruka,York,Fredericton,45.92066,-66.59798,Private room,70,1,94,2022-06-13,1.57,1,360,11,,2022.0,70,"COZY, CLEAN & QUIET SPACE","cozy, clean & quiet space"
78,12402289,FarmLife Studio and B&B 2 rooms,67064470,Ruth,Albert,Hillsborough,45.87192,-64.6661,Private room,175,2,41,2022-06-07,0.55,4,298,3,,2022.0,350,FARMLIFE STUDIO AND B&B 2 ROOMS,farmlife studio and b&b 2 rooms
79,16227524,Lake House,97761588,Deborah Joy,York,Canterbury,45.91133,-67.37297,Entire home/apt,295,30,18,2021-07-31,0.27,1,362,1,,2021.0,8850,LAKE HOUSE,lake house
80,16274637,Moncton Suites on Université - Modern suite,55189903,Raphaël,Westmorland,Moncton,46.0973,-64.78607,Entire home/apt,129,4,39,2019-09-25,0.58,1,0,0,,2019.0,516,MONCTON SUITES ON UNIVERSITÉ - MODERN SUITE,moncton suites on université - modern suite
81,12469233,The Lavender Room at FarmLife Studio and B&B,67064470,Ruth,Albert,Hillsborough,45.8721,-64.66584,Private room,79,2,55,2021-09-25,0.76,4,308,10,,2021.0,158,THE LAVENDER ROOM AT FARMLIFE STUDIO AND B&B,the lavender room at farmlife studio and b&b
82,12470149,The Cardinal Room at FarmLife Studio and B&B,67064470,Ruth,Albert,Hillsborough,45.87092,-64.66469,Private room,99,2,23,2022-05-17,0.31,4,325,5,,2022.0,198,THE CARDINAL ROOM AT FARMLIFE STUDIO AND B&B,the cardinal room at farmlife studio and b&b
83,12578927,2 BRM Modern Open Concept II with Central A/C,50017803,Dan,Westmorland,Moncton,46.0992,-64.79155,Entire home/apt,93,1,84,2019-11-01,1.16,2,280,0,,2019.0,93,2 BRM MODERN OPEN CONCEPT II WITH CENTRAL A/C,2 brm modern open concept ii with central a/c
84,2148508,Near Fundy - Country Guest House,7964165,Sharon,Kings,Springfield,45.64943,-65.86004,Private room,35,1,149,2022-06-03,1.48,5,314,21,,2022.0,35,NEAR FUNDY - COUNTRY GUEST HOUSE,near fundy - country guest house
85,12615150,Beautiful waterview cottage.,39864275,Jeffrey & Bella,Westmorland,Shediac,46.23633,-64.48645,Entire home/apt,225,3,16,2021-08-21,0.23,2,119,2,,2021.0,675,BEAUTIFUL WATERVIEW COTTAGE.,beautiful waterview cottage.
86,12636386,Cosy cottage with private beach,68622444,Patsy,Queens,Canning,45.89724,-66.13401,Entire home/apt,130,7,27,2021-08-30,0.37,1,277,6,,2021.0,910,COSY COTTAGE WITH PRIVATE BEACH,cosy cottage with private beach
87,2535589,Old Launch Ways - Family Cottage,4602006,Alec,Kings,Kingston,45.44755,-66.00487,Entire home/apt,150,7,44,2020-08-08,0.45,1,296,0,,2020.0,1050,OLD LAUNCH WAYS - FAMILY COTTAGE,old launch ways - family cottage
88,2550351,Counting sheep guest suites #1 (adult only),12298363,Heather And Joey,Albert,Hillsborough,45.94133,-64.66544,Entire home/apt,150,2,49,2021-01-05,0.82,3,230,0,,2021.0,300,COUNTING SHEEP GUEST SUITES #1 (ADULT ONLY),counting sheep guest suites #1 (adult only)
89,12770131,Lovely cottage by the Bay,69480808,Frances,Westmorland,Shediac,46.23698,-64.45967,Entire home/apt,100,3,57,2019-09-20,0.77,1,296,0,,2019.0,300,LOVELY COTTAGE BY THE BAY,lovely cottage by the bay
90,12898321,"@NeonHideaway 8min→✈ | DT 3mins | 55""TV | 5★Stay",44677735,Alex,Westmorland,Moncton,46.088455,-64.736099,Entire home/apt,175,1,87,2022-06-19,8.47,1,223,87,,2022.0,175,"@NEONHIDEAWAY 8MIN→✈ | DT 3MINS | 55""TV | 5★STAY","@neonhideaway 8min→✈ | dt 3mins | 55""tv | 5★stay"
91,2558458,Music of the Trees - Near the Sea,12963726,Sandra,Northumberland,Alnwick,47.1967,-65.14315,Entire home/apt,60,3,62,2022-05-30,0.73,1,283,6,,2022.0,180,MUSIC OF THE TREES - NEAR THE SEA,music of the trees - near the sea
92,12962444,Beautiful 2 bedroom suite uptown!,50511831,Historica,Saint John,City of Saint John,45.2726,-66.05997,Entire home/apt,114,7,41,2022-05-30,0.58,11,0,17,,2022.0,798,BEAUTIFUL 2 BEDROOM SUITE UPTOWN!,beautiful 2 bedroom suite uptown!
93,2597511,"Suite #3,  downtown Superhost.",13302046,Victoria,York,Fredericton,45.95745,-66.63637,Entire home/apt,110,1,306,2022-06-20,3.21,5,236,10,,2022.0,110,"SUITE #3,  DOWNTOWN SUPERHOST.","suite #3,  downtown superhost."
94,12982204,Beautifully Furnished Executive Main floor Apt,1373498,Usha,Saint John,City of Saint John,45.27884,-66.05894,Entire home/apt,115,2,28,2021-08-08,0.38,2,345,2,,2021.0,230,BEAUTIFULLY FURNISHED EXECUTIVE MAIN FLOOR APT,beautifully furnished executive main floor apt
95,16300953,"2BR House, 4 min walk to Parlee",74209561,Ross,Westmorland,Shediac,46.23645,-64.51483,Entire home/apt,163,3,18,2021-09-29,0.3,1,294,6,,2021.0,489,"2BR HOUSE, 4 MIN WALK TO PARLEE","2br house, 4 min walk to parlee"
96,12990088,Beachfront Country Cottage Getaway,71567637,Stephen,Westmorland,Botsford,46.17919,-64.02049,Entire home/apt,325,4,50,2022-05-23,0.68,2,293,14,,2022.0,1300,BEACHFRONT COUNTRY COTTAGE GETAWAY,beachfront country cottage getaway
97,16527421,(80-3) fully furnished 4 bedrm suite with 2 bathrm,93644538,Lorraine,Westmorland,Moncton,46.11414,-64.77595,Entire home/apt,249,2,26,2022-05-31,0.42,16,77,3,,2022.0,498,(80-3) FULLY FURNISHED 4 BEDRM SUITE WITH 2 BATHRM,(80-3) fully furnished 4 bedrm suite with 2 bathrm
98,13219995,Cedar Paradise on Lotus Pond,74160026,Selim,Westmorland,Shediac,46.221279,-64.360252,Entire home/apt,342,2,31,2022-04-16,0.43,1,310,15,,2022.0,684,CEDAR PARADISE ON LOTUS POND,cedar paradise on lotus pond
99,16533747,Entire basement with Queen-sized Bedroom,24931513,Mua,Westmorland,Moncton,46.11922,-64.8558,Entire home/apt,75,1,68,2021-10-02,1.04,2,21,10,,2021.0,75,ENTIRE BASEMENT WITH QUEEN-SIZED BEDROOM,entire basement with queen-sized bedroom
100,13325597,The Artist's Cabin,3756641,Krista & Jordy,Charlotte,Saint Andrews,45.12739,-67.04982,Entire home/apt,311,2,104,2022-06-22,1.43,2,107,15,,2022.0,622,THE ARTIST'S CABIN,the artist's cabin
101,16566239,Victorian Charming  Home,2994839,Alma,Saint John,City of Saint John,45.25218,-66.10449,Entire home/apt,91,1,302,2022-06-23,4.6,1,289,40,,2022.0,91,VICTORIAN CHARMING  HOME,victorian charming  home
102,16614567,Alvin's Parkside 2 bdrm apt in old Saint John,99381199,Alvin,Saint John,City of Saint John,45.28525,-66.0559,Entire home/apt,91,1,405,2022-06-10,6.11,5,284,69,,2022.0,91,ALVIN'S PARKSIDE 2 BDRM APT IN OLD SAINT JOHN,alvin's parkside 2 bdrm apt in old saint john
103,13329586,Le Bolonswick,27044403,Jean Antoine,Gloucester,Shippagan,47.88523,-64.61883,Entire home/apt,80,7,40,2019-08-18,0.55,2,83,0,,2019.0,560,LE BOLONSWICK,le bolonswick
